Facet,Category,Definition,Score_1,Score_5,Few_Shot_Example
Social-cognition variable: Mentalizing network activation,Pragmatics,The ability to understand and interpret the mental states of others in conversation.,Very low presence of mentalizing network activation,Extremely high presence of mentalizing network activation,"I can tell by the tone of your voice that you're upset, and I think it's because of what happened earlier today."
Patriotism,Emotion,"The presence of feelings of love, loyalty, and devotion to one's country in conversation.",Very low presence of patriotic sentiment,Extremely high presence of patriotic sentiment,"I'm so proud to be an American, and I believe in the values that our country was founded upon, like freedom and justice for all."
Leadership Styles,Pragmatics,The presence of different leadership approaches and strategies in conversation.,Very low presence of leadership styles discussion,Extremely high presence of leadership styles discussion,"As a leader, I believe in empowering my team members to take ownership of their work and make decisions autonomously."
Servility,Emotion,The presence of a tendency to be overly submissive or obedient in conversation.,Very low presence of servility,Extremely high presence of servility,"Yes, sir, I'll do whatever you say, I don't want to disappoint you or make you unhappy."
I Ching hexagram 24 resonance level,Linguistic,"The presence of a connection to the I Ching hexagram 24, which represents return or renewal, in conversation.",Very low presence of I Ching hexagram 24 resonance,Extremely high presence of I Ching hexagram 24 resonance,"I've been feeling stuck lately, but I'm trying to return to my roots and renew my sense of purpose, just like the I Ching hexagram 24 suggests."
Enneagram Personality Types,Emotion,"The presence of a personality type based on the Enneagram system, which describes patterns of thinking, feeling, and behaving.",Very low presence of Enneagram personality types discussion,Extremely high presence of Enneagram personality types discussion,"As a type 4, I tend to be more introverted and emotionally intense, and I often struggle with feelings of melancholy and self-doubt."
Stress Recovery Ability,Emotion,The ability to recover and bounce back from stressful situations in conversation.,Very low presence of stress recovery ability,Extremely high presence of stress recovery ability,"I was feeling really overwhelmed earlier, but after taking a few deep breaths and going for a walk, I'm feeling much more calm and centered now."
Troubleshooting technical issues,Linguistic,The ability to identify and resolve technical problems in conversation.,Very low presence of technical troubleshooting,Extremely high presence of technical troubleshooting,"I think the issue is with the software update, let me try to troubleshoot it by checking the system logs and running a diagnostic test."
Defense-mechanism tendency: Introjection,Emotion,"The tendency to internalize and take on the thoughts, feelings, and behaviors of others in conversation.",Very low presence of introjection,Extremely high presence of introjection,"I know my friend is going through a tough time, and I can feel their pain and anxiety, it's like I'm taking on their emotions as my own."
Irritability,Emotion,Irritability refers to the tendency to exhibit annoyance or frustration in conversation.,Very low presence of annoyance or frustration,Extremely high presence of annoyance or frustration,"Ugh, that's so annoying, can we just move on already?"
Travel-companions diversity,Pragmatics,"Travel-companions diversity refers to the variety of people one travels with, reflecting openness to different social interactions.",Very low diversity in travel companions,Extremely high diversity in travel companions,"I've traveled with people from over 10 different countries, it's amazing to learn about their cultures."
Sacred text engagement: Quran surahs memorized,Linguistic,"Sacred text engagement refers to the level of memorization and understanding of sacred texts, such as the Quran.",Very low engagement with sacred texts,Extremely high engagement with sacred texts,I've memorized over 20 surahs from the Quran and try to apply their teachings in my daily life.
Trust in others,Pragmatics,Trust in others refers to the willingness to rely on and have confidence in the actions and intentions of others.,Very low trust in others,Extremely high trust in others,"I trust my friends and family completely, I know they'd never betray me."
Gamified-finance-app usage,Pragmatics,Gamified-finance-app usage refers to the frequency and engagement with financial applications that incorporate game-like elements.,Very low usage of gamified finance apps,Extremely high usage of gamified finance apps,"I use a finance app that rewards me for saving money, it's really helped me stay on top of my finances."
Buddhist practice: Eightfold Path – Right Intention level,Linguistic,"Buddhist practice refers to the level of understanding and application of Buddhist principles, such as the Eightfold Path.",Very low understanding and application of Buddhist principles,Extremely high understanding and application of Buddhist principles,I've been studying the Eightfold Path and trying to cultivate right intention in my daily thoughts and actions.
Caffeine intake (mg/day),Safety,"Caffeine intake refers to the amount of caffeine consumed on a daily basis, which can impact physical and mental health.",Very low caffeine intake,Extremely high caffeine intake,"I drink at least 5 cups of coffee a day, I know it's a lot but it helps me stay focused."
Comfort with Vulnerability,Emotion,Comfort with vulnerability refers to the ability to openly express emotions and be receptive to the emotions of others.,Very low comfort with vulnerability,Extremely high comfort with vulnerability,"I'm not afraid to show my emotions and be vulnerable with my loved ones, it's helped me build deeper connections."
Anticipativeness,Pragmatics,Anticipativeness refers to the ability to foresee and prepare for future events or situations.,Very low ability to anticipate and prepare for the future,Extremely high ability to anticipate and prepare for the future,"I always plan ahead and anticipate potential problems, it's helped me avoid a lot of stress and unexpected issues."
Additional Common Parameters and Their End Points,Linguistic,Additional common parameters refer to the use of technical or specialized language to discuss complex topics.,Very low use of technical or specialized language,Extremely high use of technical or specialized language,"I'm familiar with the API endpoints and parameters for integrating machine learning models, let me explain how they work."
Avoiding,Emotion,Avoiding refers to the tendency to evade or escape from uncomfortable or difficult situations or conversations.,Very low tendency to avoid uncomfortable situations,Extremely high tendency to avoid uncomfortable situations,"I tend to avoid confrontations or difficult conversations, I'd rather just avoid the stress and tension."
Home-security-system presence,Safety,Home-security-system presence refers to the installation and use of security systems in one's home to protect against potential threats.,Very low presence of home security systems,Extremely high presence of home security systems,"I have a state-of-the-art home security system, it gives me peace of mind knowing my family and property are protected."
HEXACO domain: Honesty-Humility,Linguistic,"Honesty-Humility refers to the tendency to be truthful, modest, and fair in one's words and actions.",Very low presence of honesty and humility,Extremely high presence of honesty and humility,"I always try to be honest and transparent in my interactions, even if it's difficult or uncomfortable."
Eating Habits (Home-Cooked vs. Eating Out),Pragmatics,Eating habits refer to the frequency and preference for cooking at home versus eating out at restaurants or other establishments.,Very low preference for home-cooked meals,Extremely high preference for home-cooked meals,"I love cooking at home and trying out new recipes, it's healthier and more cost-effective than eating out all the time."
Decision-Making Confidence,Emotion,Decision-making confidence refers to the level of self-assurance and faith in one's ability to make effective decisions.,Very low confidence in decision-making,Extremely high confidence in decision-making,"I trust my instincts and am confident in my ability to make good decisions, even in uncertain or high-pressure situations."
Alignment with societal roles,Pragmatics,The degree to which an individual's behavior and speech align with the expectations of their societal role.,Very low adherence to traditional societal roles,Strong alignment with traditional societal expectations,"As a doctor, I always prioritize my patients' needs above my own."
Connectedness: Belief in interconnections,Linguistic,"The extent to which an individual perceives and expresses the interconnectedness of people, ideas, or events.",Very low recognition of interconnectedness,Deep understanding and expression of complex interconnections,I believe that every person's story is a thread in the intricate tapestry of human experience.
Quirkiness,Linguistic,The degree to which an individual's language or behavior exhibits unconventional or offbeat characteristics.,Very low presence of unusual or unconventional traits,Highly distinctive and unconventional language or behavior,I'm obsessed with collecting vintage door knobs and I think they hold the secrets of the universe.
Creative resilience,Emotion,The ability to maintain a creative and positive outlook in the face of challenges or setbacks.,Struggles to cope with adversity and maintain creative momentum,Able to thrive and produce innovative work despite obstacles,"After my studio burned down, I used the ashes to create a stunning sculpture that symbolized rebirth."
Rapid cognitive processing,Linguistic,The speed and efficiency with which an individual processes and responds to linguistic information.,Slow and laborious cognitive processing,Extremely quick and accurate processing of complex information,I can solve a Rubik's cube in under 10 seconds while simultaneously explaining the theory behind it.
Cordiality,Emotion,"The degree to which an individual exhibits warm, friendly, and courteous behavior in their interactions.",Very low display of warmth or friendliness,Extremely welcoming and gracious in all interactions,"You're the first person I've met who actually listens, and I feel so grateful for your kindness."
Types of Mindfulness Techniques Used,Pragmatics,The variety and frequency of mindfulness practices employed by an individual to cultivate awareness and well-being.,Very limited or no use of mindfulness techniques,Regular and diverse practice of mindfulness techniques,"I start every day with a 30-minute meditation session, followed by yoga and a gratitude journal."
Economic reasoning,Pragmatics,The ability to analyze and make informed decisions about economic issues and trade-offs.,Very low understanding of economic principles,Highly sophisticated and nuanced economic reasoning,"By investing in renewable energy, we can create a sustainable future while also stimulating local economies."
Conformity,Pragmatics,"The degree to which an individual adheres to established norms, rules, or expectations.",Very low tendency to conform to societal norms,Strong adherence to traditional norms and expectations,"As a responsible citizen, I always follow the rules and respect authority figures."
Pet-enrichment activities count,Safety,The number and variety of activities provided to pets to ensure their physical and emotional well-being.,Very few or no enriching activities provided for pets,A wide range of stimulating and engaging activities for pets,"My dog has a personalized agility course, a sensory garden, and a rotating schedule of playdates with other dogs."
Aestheticism,Linguistic,"The appreciation and expression of beauty, taste, and elegance in language, behavior, or surroundings.",Very low appreciation or expression of aesthetic values,Highly refined and discerning sense of beauty and taste,The intricate patterns on a butterfly's wings are a testament to the sublime beauty of nature.
Type of Support Preferred (Emotional vs. Practical),Emotion,"The type of support an individual prefers to receive or offer in times of need, ranging from emotional comfort to practical assistance.",Strong preference for practical support,Strong preference for emotional support,"Sometimes all I need is someone to listen to me and offer a comforting word, rather than trying to fix the problem."
Mental Arithmetic Speed,Linguistic,The speed and accuracy with which an individual performs mental arithmetic calculations.,Very slow and inaccurate mental arithmetic,Extremely fast and accurate mental arithmetic,I can calculate the tip for a $50 meal with a 20% gratuity in under 2 seconds.
Patience: Resistance to anger,Emotion,The ability to remain calm and composed in the face of challenging or frustrating situations.,Very low patience and high propensity for anger,Extremely high patience and ability to manage anger,"Even when faced with a long line at the grocery store, I take a deep breath and focus on the present moment."
Flawlessness,Safety,The degree to which an individual strives for perfection and avoids mistakes or errors.,Very low attention to detail and high tolerance for mistakes,"Extremely high standards for oneself and others, with a strong emphasis on precision and accuracy",I spend hours reviewing and editing my work to ensure that it meets the highest standards of quality and excellence.
Self-Efficacy,Emotion,The degree to which a speaker expresses confidence in their ability to accomplish tasks and achieve goals.,Very low presence of self-confidence in statements.,Extremely high presence of self-confidence in statements.,I know I can master this new skill with dedication and hard work.
Computer Skills,Linguistic,The level of proficiency and knowledge a speaker demonstrates regarding computer systems and technology.,Very limited understanding or mention of computer-related concepts.,Extensive and accurate discussion of computer-related concepts.,I've been working with Python for years and recently started exploring machine learning libraries like TensorFlow.
Jewish spiritual metric: Shabbat candle-lighting consistency,Pragmatics,The regularity and adherence to the ritual of lighting Shabbat candles as part of Jewish spiritual practice.,Rare or inconsistent practice of lighting Shabbat candles.,Consistent and diligent practice of lighting Shabbat candles every week.,"Every Friday evening, without fail, I light the Shabbat candles to welcome the Sabbath."
Spelling Accuracy,Linguistic,The degree to which written communication is free from spelling errors.,Very high frequency of spelling mistakes in written communication.,Extremely low frequency of spelling mistakes in written communication.,The meticulously written letter had not a single spelling error throughout its entirety.
Sufi practice: Dhikr repetitions / day,Pragmatics,"The frequency of performing Dhikr, a Sufi spiritual practice of remembering and invoking God, on a daily basis.",Very few or no repetitions of Dhikr throughout the day.,A high number of repetitions of Dhikr throughout the day as a regular practice.,I make it a point to perform Dhikr at least a hundred times every day to stay connected with the divine.
Peacefulness,Emotion,The degree to which a speaker's tone and language convey a sense of calmness and serenity.,Very low presence of peaceful tone or language in dialogue.,Extremely high presence of peaceful tone and language in dialogue.,"As I walk through nature, I feel a deep sense of peace that calms my mind and soothes my soul."
Doggedness,Emotion,The degree to which a speaker exhibits determination and persistence in the face of challenges or setbacks.,Very little evidence of determination or persistence in statements.,Extremely high evidence of determination and persistence in statements.,"No matter how many times I fail, I will keep trying until I succeed in my goals."
Decency,Pragmatics,"The degree to which a speaker's language and behavior adhere to social norms of respect, kindness, and courtesy.",Very low adherence to norms of respect and kindness in dialogue.,"Extremely high adherence to norms of respect, kindness, and courtesy in dialogue.",I always make sure to listen attentively and respond thoughtfully to show respect in every conversation.
Processed-food frequency,Safety,The frequency at which a speaker consumes or discusses the consumption of processed foods.,Very low frequency of consuming or discussing processed foods.,Very high frequency of consuming or discussing processed foods.,I eat frozen pizzas and microwaveable dinners almost every day for convenience.
